"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"6/24/2022","PURCHASE INTO CORE ACCOUNT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) MORNING TRADE (Cash)","PURCHASE INTO CORE ACCOUNT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) MORNING TRADE (Cash)","1.70","debit","Buy","Health Savings Account","",""
"6/23/2022","EXXONMOBIL 9744     WEYMOUTH            MA","EXXONMOBIL 9744     WEYMOUTH            MA","30.00","debit","Gas & Fuel","American Express Gold Card","",""
"6/23/2022","Zelle Transfer Conf# ms52k8y9n;                             Sid New Jersey","Zelle Transfer Conf# ms52k8y9n;                             Sid New Jersey","77.33","debit","Transfer","Adv Plus Banking - 9491","",""
"6/22/2022","WHOLEFDS SWY #10506 SOUTH WEYMOUT       MA","WHOLEFDS SWY #10506 SOUTH WEYMOUT       MA","2.79","debit","Groceries","American Express Gold Card","",""
"6/21/2022","CVS PHARMACY        SOUTH WEYMOUTH      MA","CVS PHARMACY        SOUTH WEYMOUTH      MA","10.61","debit","Pharmacy","Delta SkyMiles Gold Card","",""
"6/21/2022","WHOLEFDS SWY #10506 SOUTH WEYMOUT       MA","WHOLEFDS SWY #10506 SOUTH WEYMOUT       MA","85.70","debit","Groceries","Delta SkyMiles Gold Card","",""
"6/21/2022","E-ZPASS REBILL   DES:EZP REBILL ID:5252081                   INDN:RAJEEV *SINGH           CO ID:XXXXX84343 WEB","E-ZPASS REBILL   DES:EZP REBILL ID:5252081                   INDN:RAJEEV *SINGH           CO ID:XXXXX84343 WEB","25.00","debit","Auto & Transport","Adv Plus Banking - 9491","",""
"6/21/2022","PURCHASE   0617 McDonald's 11384                            MOUNT LAUREL NJ XXXXX3821XXXXXXXXXX5856","PURCHASE   0617 McDonald's 11384                            MOUNT LAUREL NJ XXXXX3821XXXXXXXXXX5856","7.63","debit","Fast Food","Adv Plus Banking - 9491","",""
"6/21/2022","AMERICAN EXPRESS DES:ACH PMT    ID:M8352                     INDN:Rajeev singh            CO ID:XXXXX33497 WEB","AMERICAN EXPRESS DES:ACH PMT    ID:M8352                     INDN:Rajeev singh            CO ID:XXXXX33497 WEB","3701.91","debit","Credit Card Payment","Adv Plus Banking - 9491","",""
"6/21/2022","E-ZPASS REBILL   DES:EZP REBILL ID:5070684                   INDN:RAJEEV *SINGH           CO ID:XXXXX84343 WEB","E-ZPASS REBILL   DES:EZP REBILL ID:5070684                   INDN:RAJEEV *SINGH           CO ID:XXXXX84343 WEB","25.00","debit","Auto & Transport","Adv Plus Banking - 9491","",""
"6/21/2022","Binance.US       DES:Binance.us ID:C4AE98DA9F5147D           INDN:RAJEEV KUMAR SINGH      CO ID:XXXXX35099 WEB","Binance.US       DES:Binance.us ID:C4AE98DA9F5147D           INDN:RAJEEV KUMAR SINGH      CO ID:XXXXX35099 WEB","100.00","debit","Investments","Adv Plus Banking - 9491","",""
"6/21/2022","AMERICAN EXPRESS DES:ACH PMT    ID:M3298                     INDN:Rajeev singh            CO ID:XXXXX33497 WEB","AMERICAN EXPRESS DES:ACH PMT    ID:M3298                     INDN:Rajeev singh            CO ID:XXXXX33497 WEB","76.45","debit","Credit Card Payment","Adv Plus Banking - 9491","",""
"6/21/2022","MCDONALDS CORP CASH DIV ON 4 SHS REC 06/06/22 PAY 06/20/22","MCDONALDS CORP CASH DIV ON 4 SHS REC 06/06/22 PAY 06/20/22","5.52","credit","Investments","Individual Brokerage","",""
"6/20/2022","South Shore Desi","SOUTH SHORE DESI MARBRAINTREE           MA","97.10","debit","Uncategorized","American Express Gold Card","",""
"6/20/2022","MARATHON SPORTS  NORNORWELL             MA","MARATHON SPORTS  NORNORWELL             MA","129.95","debit","Gas & Fuel","American Express Gold Card","",""
"6/20/2022","EXXONMOBIL 9745     NORWELL             MA","EXXONMOBIL 9745     NORWELL             MA","30.70","debit","Gas & Fuel","American Express Gold Card","",""
"6/20/2022","1947 NORWOOD 0000   NORWOOD             MA","1947 NORWOOD 0000   NORWOOD             MA","35.32","debit","Restaurants","American Express Gold Card","",""
"6/20/2022","MOBILE PAYMENT - THANK YOU","MOBILE PAYMENT - THANK YOU","3701.91","credit","Credit Card Payment","American Express Gold Card","",""
"6/20/2022","MOBILE PAYMENT - THANK YOU","MOBILE PAYMENT - THANK YOU","76.45","credit","Credit Card Payment","American Express Gold Card","",""
"6/20/2022","TST* SBARRO - DARIENDARIEN              CT","TST* SBARRO - DARIENDARIEN              CT","5.68","debit","Restaurants","American Express Gold Card","",""
"6/19/2022","DUNKIN #349421      DARIEN              CT","DUNKIN #349421      DARIEN              CT","8.35","debit","Coffee Shops","American Express Gold Card","",""
"6/19/2022","SUNOCO 8002287201 80ABERDEEN            MD","SUNOCO 8002287201 80ABERDEEN            MD","53.95","debit","Gas & Fuel","American Express Gold Card","",""
"6/19/2022","TACO BELL 040044 040ABERDEEN            MD","TACO BELL 040044 040ABERDEEN            MD","9.53","debit","Fast Food","American Express Gold Card","",""
"6/19/2022","MCDONALD'S F3217 000ABERDEEN            MD","MCDONALD'S F3217 000ABERDEEN            MD","10.26","debit","Fast Food","American Express Gold Card","",""
"6/19/2022","RENEWAL MEMBERSHIP FEE","RENEWAL MEMBERSHIP FEE","99.00","debit","Service Fee","Delta SkyMiles Gold Card","",""
"6/18/2022","TST* BOMBAY STREET FWASHINGTON          DC","TST* BOMBAY STREET FWASHINGTON          DC","66.00","debit","Restaurants","American Express Gold Card","",""
"6/18/2022","TST* BINDAAS BOWLS AWASHINGTON          DC","TST* BINDAAS BOWLS AWASHINGTON          DC","28.60","debit","Restaurants","American Express Gold Card","",""
"6/18/2022","NAT GEO LECTURES    WASHINGTON          DC","NAT GEO LECTURES    WASHINGTON          DC","40.00","debit","Entertainment","American Express Gold Card","",""
"6/18/2022","CLARA BARTON ONLINE WASHINGTON          DC","CLARA BARTON ONLINE WASHINGTON          DC","8.00","debit","Restaurants","American Express Gold Card","",""
"6/18/2022","TARGET        022590WASHINGTON          DC","TARGET        022590WASHINGTON          DC","9.58","debit","Shopping","American Express Gold Card","",""
"6/18/2022","SUNRISE CAFE 6500000WASHINGTON          DC","SUNRISE CAFE 6500000WASHINGTON          DC","17.30","debit","Restaurants","American Express Gold Card","",""
"6/18/2022","SPOTHERO 844-356-805CHICAGO             IL","SPOTHERO 844-356-805CHICAGO             IL","9.35","debit","Parking","American Express Gold Card","",""
"6/18/2022","A&M FOODS LLC       Washington          DC","A&M FOODS LLC       Washington          DC","11.00","debit","Food & Dining","American Express Gold Card","",""
"6/17/2022","CR ADJ FOR FINANCE CHARGE","CR ADJ FOR FINANCE CHARGE","42.14","credit","Finance Charge","American Express Gold Card","",""
"6/17/2022","SUNOCO 0368301801 03WOODBRIDGE          NJ","SUNOCO 0368301801 03WOODBRIDGE          NJ","44.54","debit","Gas & Fuel","American Express Gold Card","",""
"6/17/2022","DC USA PARKING 02590WASHINGTON          DC","DC USA PARKING 02590WASHINGTON          DC","2.00","debit","Parking","American Express Gold Card","",""
"6/17/2022","TST* BOMBAY STREET FWASHINGTON          DC","TST* BOMBAY STREET FWASHINGTON          DC","53.00","debit","Restaurants","American Express Gold Card","",""
"6/17/2022","POPEYES 4102 0000   EDGEWOOD            MD","POPEYES 4102 0000   EDGEWOOD            MD","15.43","debit","Restaurants","American Express Gold Card","",""
"6/17/2022","PLANET FIT       DES:CLUB FEES  ID:XXXXX12866114             INDN:RAJEEV SINGH            CO ID:XXXXX02737 PPD           PMT INFO:781-331-3939","PLANET FIT       DES:CLUB FEES  ID:XXXXX12866114             INDN:RAJEEV SINGH            CO ID:XXXXX02737 PPD           PMT INFO:781-331-3939","10.00","debit","Gym","Adv Plus Banking - 9491","",""
"6/17/2022","PLANET FIT       DES:CLUB FEES  ID:XXXXX12866108             INDN:ANU SINGH               CO ID:XXXXX02737 PPD           PMT INFO:781-331-3939","PLANET FIT       DES:CLUB FEES  ID:XXXXX12866108             INDN:ANU SINGH               CO ID:XXXXX02737 PPD           PMT INFO:781-331-3939","10.00","debit","Gym","Adv Plus Banking - 9491","",""
"6/17/2022","Interest Charge on Pay Over Time Purchases","Interest Charge on Pay Over Time Purchases","42.14","debit","Finance Charge","American Express Gold Card","",""
"6/16/2022","EXXONMOBIL 9744     WEYMOUTH            MA","EXXONMOBIL 9744     WEYMOUTH            MA","25.30","debit","Gas & Fuel","American Express Gold Card","",""
"6/15/2022","BJ'S WHOLESALE CLUB WEYMOUTH            MA","BJ'S WHOLESALE CLUB WEYMOUTH            MA","100.15","debit","Groceries","American Express Gold Card","",""
"6/15/2022","PURCHASE   0613 TACO BELL 704812                            NORWELL      MA XXXXX0021XXXXXXXXXX4839","PURCHASE   0613 TACO BELL 704812                            NORWELL      MA XXXXX0021XXXXXXXXXX4839","6.94","debit","Fast Food","Adv Plus Banking - 9491","",""
"6/15/2022","BINANCE.US       DES:HKXQ BINAN ID:CBDAF434380F4FF           INDN:RAJEEV KUMAR SINGH      CO ID:XXXXX35099 WEB","BINANCE.US       DES:HKXQ BINAN ID:CBDAF434380F4FF           INDN:RAJEEV KUMAR SINGH      CO ID:XXXXX35099 WEB","45.00","debit","Investments","Adv Plus Banking - 9491","",""
"6/14/2022","RAJA RANI 0000      QUINCY              MA","RAJA RANI 0000      QUINCY              MA","16.04","debit","Restaurants","American Express Gold Card","",""
"6/14/2022","POPEYES 13195 0000  BRAINTREE           MA","POPEYES 13195 0000  BRAINTREE           MA","10.68","debit","Restaurants","American Express Gold Card","",""
"6/14/2022","BINANCE.US       DES:KVEP BINAN ID:C8967031C35E4E8           INDN:RAJEEV KUMAR SINGH      CO ID:XXXXX35099 WEB","BINANCE.US       DES:KVEP BINAN ID:C8967031C35E4E8           INDN:RAJEEV KUMAR SINGH      CO ID:XXXXX35099 WEB","50.00","debit","Investments","Adv Plus Banking - 9491","",""
"6/14/2022","BINANCE.US       DES:26HD BINAN ID:BD302BDDA5C64B7           INDN:RAJEEV KUMAR SINGH      CO ID:XXXXX35099 WEB","BINANCE.US       DES:26HD BINAN ID:BD302BDDA5C64B7           INDN:RAJEEV KUMAR SINGH      CO ID:XXXXX35099 WEB","100.00","debit","Investments","Adv Plus Banking - 9491","",""
"6/13/2022","MCDONALD'S          NORWELL             MA","MCDONALD'S          NORWELL             MA","4.15","debit","Fast Food","American Express Gold Card","",""
"6/13/2022","WHOLE FOODS MARKET  HINGHAM             MA","WHOLE FOODS MARKET  HINGHAM             MA","44.07","debit","Groceries","American Express Gold Card","",""
"6/13/2022","WHOLE FOODS MARKET  HINGHAM             MA","WHOLE FOODS MARKET  HINGHAM             MA","12.77","debit","Groceries","Additional Gold Card - Supplementary account","",""
"6/13/2022","PURCHASE   0611 McDonald's 4833                             WEYMOUTH     MA XXXXX3821XXXXXXXXXX0136","PURCHASE   0611 McDonald's 4833                             WEYMOUTH     MA XXXXX3821XXXXXXXXXX0136","3.09","debit","Fast Food","Adv Plus Banking - 9491","",""
"6/13/2022","LYFT.COM/CHARGES 000SAN FRANCISCO       CA","LYFT.COM/CHARGES 000SAN FRANCISCO       CA","11.65","debit","Ride Share","Delta SkyMiles Gold Card","",""
"6/13/2022","Interest Payment","Interest Payment","0.65","credit","Interest Income","High Yield Savings Acct","",""
"6/13/2022","MASCO CORP CASH DIV ON 1 SHS REC 05/27/22 PAY 06/13/22","MASCO CORP CASH DIV ON 1 SHS REC 05/27/22 PAY 06/13/22","0.28","credit","Investments","Individual Brokerage","",""
"6/12/2022","RAJA RANI 0000      QUINCY              MA","RAJA RANI 0000      QUINCY              MA","16.04","debit","Restaurants","American Express Gold Card","",""
"6/12/2022","CUMBERLAND FARMS 346WEYMOUTH            MA","CUMBERLAND FARMS 346WEYMOUTH            MA","12.65","debit","Groceries","American Express Gold Card","",""
"6/12/2022","BJ'S FUEL           QUINCY              MA","BJ'S FUEL           QUINCY              MA","55.88","debit","Gas & Fuel","American Express Gold Card","",""
"6/12/2022","THE HALAL GUYS BOSTOBOSTON MA","THE HALAL GUYS BOSTOBOSTON              MA","24.05","debit","Restaurants","American Express Gold Card","",""
"6/11/2022","SPOTHERO 844-356-805CHICAGO             IL","SPOTHERO 844-356-805CHICAGO             IL","5.99","debit","Parking","American Express Gold Card","",""
"6/11/2022","WHOLEFDS SWY #10506 SOUTH WEYMOUT       MA","WHOLEFDS SWY #10506 SOUTH WEYMOUT       MA","23.35","debit","Groceries","American Express Gold Card","",""
"6/11/2022","BOSTON OPERA HOUSE CBOSTON              MA","BOSTON OPERA HOUSE CBOSTON              MA","10.00","debit","Arts","American Express Gold Card","",""
"6/11/2022","7-ELEVEN 32480 00073BOSTON              MA","7-ELEVEN 32480 00073BOSTON              MA","3.23","debit","Fast Food","American Express Gold Card","",""
"6/11/2022","SANTA FE BURRITO GRIWEYMOUTH            MA","SANTA FE BURRITO GRIWEYMOUTH            MA","13.11","debit","Restaurants","American Express Gold Card","",""
"6/11/2022","THE HALAL GUYS BOSTOBOSTON MA","THE HALAL GUYS BOSTOBOSTON              MA","16.56","debit","Restaurants","Delta SkyMiles Gold Card","",""
"6/10/2022","MAIDA PHARMACY 65000ARLINGTON           MA","MAIDA PHARMACY 65000ARLINGTON           MA","8.45","debit","Pharmacy","Additional Gold Card - Supplementary account","",""
"6/10/2022","MAIDA PHARMACY 65000ARLINGTON           MA","MAIDA PHARMACY 65000ARLINGTON           MA","95.00","debit","Pharmacy","Additional Gold Card - Supplementary account","",""
"6/10/2022","PFIZER INC CASH DIV ON 2 SHS REC 05/13/22 PAY 06/10/22","PFIZER INC CASH DIV ON 2 SHS REC 05/13/22 PAY 06/10/22","0.80","credit","Investments","Individual Brokerage","",""
"6/09/2022","SANTA FE BURRITO GRIWEYMOUTH            MA","SANTA FE BURRITO GRIWEYMOUTH            MA","13.11","debit","Restaurants","American Express Gold Card","",""
"6/09/2022","MICROSOFT CORP CASH DIV ON 7 SHS REC 05/19/22 PAY 06/09/22","MICROSOFT CORP CASH DIV ON 7 SHS REC 05/19/22 PAY 06/09/22","4.34","credit","Investments","Individual Brokerage","",""
"6/09/2022","PURCHASE INTO CORE ACCOUNT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) MORNING TRADE (Cash)","PURCHASE INTO CORE ACCOUNT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) MORNING TRADE (Cash)","0.62","debit","Buy","Health Savings Account","",""
"6/09/2022","DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash)","DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash)","0.62","credit","Dividend & Cap Gains","Health Savings Account","",""
"6/08/2022","MARSHALLS           SOUTH WEYMOUTH      MA","MARSHALLS           SOUTH WEYMOUTH      MA","10.00","debit","Clothing","American Express Gold Card","",""
"6/08/2022","WHOLEFDS SWY #10506 SOUTH WEYMOUT       MA","WHOLEFDS SWY #10506 SOUTH WEYMOUT       MA","54.77","debit","Groceries","American Express Gold Card","",""
